action_id,customer,install,lever,choice,ts
A000001,K0222,I00001,sku_quoted,P027,2025-03-27
A000002,K0222,I00001,commissioning,on-site,2025-03-27
A000003,K0222,I00001,service_plan,none,2025-03-27
A000004,K0222,I00001,support_tier,dedicated,2025-03-27
A000005,K0379,I00002,sku_quoted,P028,2025-06-27
A000006,K0379,I00002,commissioning,on-site,2025-06-27
A000007,K0379,I00002,service_plan,standard,2025-06-27
A000008,K0379,I00002,support_tier,pooled,2025-06-27
A000009,K0285,I00003,sku_quoted,P040,2024-03-31
A000010,K0285,I00003,commissioning,guided,2024-03-31
A000011,K0285,I00003,service_plan,standard,2024-03-31
A000012,K0285,I00003,support_tier,dedicated,2024-03-31
A000013,K0371,I00004,sku_quoted,P006,2024-08-11
A000014,K0371,I00004,commissioning,on-site,2024-08-11
A000015,K0371,I00004,service_plan,none,2024-08-11
A000016,K0371,I00004,support_tier,pooled,2024-08-11
A000017,K0423,I00005,sku_quoted,P040,2025-01-01
A000018,K0423,I00005,commissioning,self,2025-01-01
A000019,K0423,I00005,service_plan,none,2025-01-01
A000020,K0423,I00005,support_tier,dedicated,2025-01-01
A000021,K0379,I00006,sku_quoted,P016,2024-08-05
A000022,K0379,I00006,commissioning,self,2024-08-05
A000023,K0379,I00006,service_plan,standard,2024-08-05
A000024,K0379,I00006,support_tier,dedicated,2024-08-05
A000025,K0062,I00007,sku_quoted,P036,2025-06-02
A000026,K0062,I00007,commissioning,on-site,2025-06-02
A000027,K0062,I00007,service_plan,standard,2025-06-02
A000028,K0062,I00007,support_tier,pooled,2025-06-02
A000029,K0201,I00008,sku_quoted,P037,2025-05-30
A000030,K0201,I00008,commissioning,on-site,2025-05-30
A000031,K0201,I00008,service_plan,standard,2025-05-30
A000032,K0201,I00008,support_tier,pooled,2025-05-30
A000033,K0225,I00009,sku_quoted,P038,2024-04-16
A000034,K0225,I00009,commissioning,self,2024-04-16
A000035,K0225,I00009,service_plan,none,2024-04-16
A000036,K0225,I00009,support_tier,pooled,2024-04-16
A000037,K0113,I00010,sku_quoted,P021,2025-02-06
A000038,K0113,I00010,commissioning,self,2025-02-06
A000039,K0113,I00010,service_plan,none,2025-02-06
A000040,K0113,I00010,support_tier,pooled,2025-02-06
A000041,K0490,I00011,sku_quoted,P015,2025-02-21
A000042,K0490,I00011,commissioning,self,2025-02-21
A000043,K0490,I00011,service_plan,standard,2025-02-21
A000044,K0490,I00011,support_tier,pooled,2025-02-21
A000045,K0429,I00012,sku_quoted,P041,2025-04-30
A000046,K0429,I00012,commissioning,guided,2025-04-30
A000047,K0429,I00012,service_plan,none,2025-04-30
A000048,K0429,I00012,support_tier,dedicated,2025-04-30
A000049,K0001,I00013,sku_quoted,P028,2025-02-06
A000050,K0001,I00013,commissioning,self,2025-02-06
A000051,K0001,I00013,service_plan,standard,2025-02-06
A000052,K0001,I00013,support_tier,pooled,2025-02-06
A000053,K0386,I00014,sku_quoted,P020,2024-10-02
A000054,K0386,I00014,commissioning,self,2024-10-02
A000055,K0386,I00014,service_plan,standard,2024-10-02
A000056,K0386,I00014,support_tier,dedicated,2024-10-02
A000057,K0325,I00015,sku_quoted,P026,2024-05-14
A000058,K0325,I00015,commissioning,on-site,2024-05-14
A000059,K0325,I00015,service_plan,standard,2024-05-14
A000060,K0325,I00015,support_tier,dedicated,2024-05-14
A000061,K0209,I00016,sku_quoted,P039,2024-10-28
A000062,K0209,I00016,commissioning,self,2024-10-28
A000063,K0209,I00016,service_plan,standard,2024-10-28
A000064,K0209,I00016,support_tier,dedicated,2024-10-28
