install_id,industry,size_band,country,climate,dust_level,shift_pattern,family,grade,cooling,ip_rating,duty_cycle_pct,channel,region,message_angle,landing_page,device,commissioning,service_plan,support_tier,had_thermal_fault,slow_first_response,ticket_count,feedback_score,order_value,installed_on,churned,reordered
I00001,food,small,PL,temperate,medium,3-shift,Hoist,industrial,active,IP66,90,paid-social,benelux,durability,/case-studies,desktop,on-site,none,dedicated,false,false,0,,79200,2025-03-27,false,true
I00002,mining,large,SA,hot,low,2-shift,Hoist,industrial,liquid,IP66,90,trade-fair,middle-east,uptime,/case-studies,mobile,on-site,standard,pooled,false,false,0,5,53100,2025-06-27,false,true
I00003,logistics,small,ES,hot,medium,1-shift,Loader,pro,liquid,IP54,65,trade-fair,middle-east,uptime,/spec-sheets,desktop,guided,standard,dedicated,false,false,1,,35550,2024-03-31,false,true
I00004,construction,small,SE,arctic,low,1-shift,Lifter,industrial,active,IP66,90,paid-social,middle-east,durability,/case-studies,mobile,on-site,none,pooled,false,true,1,5,26600,2024-08-11,false,true
I00005,construction,large,MA,temperate,medium,2-shift,Loader,pro,liquid,IP54,65,paid-social,benelux,durability,/contact,desktop,self,none,dedicated,false,false,1,5,11850,2025-01-01,false,true
I00006,mining,large,SA,hot,low,2-shift,Compactor,consumer,active,IP54,35,distributor-ME,middle-east,uptime,/products,desktop,self,standard,dedicated,false,false,0,,13500,2024-08-05,true,false
I00007,logistics,small,AE,hot,medium,1-shift,Loader,consumer,passive,IP66,35,distributor-ME,middle-east,uptime,/contact,desktop,on-site,standard,pooled,true,false,1,,21250,2025-06-02,false,true
I00008,logistics,small,DE,temperate,medium,1-shift,Loader,consumer,active,IP66,35,search,iberia,service,/pricing,mobile,on-site,standard,pooled,false,false,0,4,4100,2025-05-30,true,false
I00009,food,small,FI,temperate,medium,3-shift,Loader,pro,passive,IP65,65,trade-fair,nordics,service,/contact,desktop,self,none,pooled,true,false,1,,33600,2024-04-16,false,true
I00010,food,small,PL,temperate,low,3-shift,Compactor,industrial,liquid,IP66,90,trade-fair,iberia,durability,/products,desktop,self,none,pooled,false,false,0,5,26550,2025-02-06,false,true
I00011,food,small,AE,hot,high,2-shift,Compactor,consumer,passive,IP66,35,search,iberia,service,/spec-sheets,desktop,self,standard,pooled,true,true,3,,21500,2025-02-21,true,false
I00012,food,small,MA,hot,low,3-shift,Loader,industrial,active,IP66,90,distributor-ME,middle-east,uptime,/spec-sheets,desktop,guided,none,dedicated,false,false,2,2,27050,2025-04-30,false,true
I00013,logistics,large,PL,hot,medium,1-shift,Hoist,industrial,liquid,IP66,90,search,middle-east,uptime,/products,desktop,self,standard,pooled,true,false,1,,26550,2025-02-06,false,true
I00014,food,mid,MA,hot,medium,3-shift,Compactor,industrial,active,IP66,90,distributor-ME,middle-east,uptime,/products,desktop,self,standard,dedicated,false,false,1,,26600,2024-10-02,false,true
I00015,construction,small,SA,hot,medium,1-shift,Hoist,pro,liquid,IP65,65,distributor-ME,middle-east,uptime,/pricing,desktop,on-site,standard,dedicated,false,false,0,,22500,2024-05-14,false,true
I00016,food,large,FI,hot,medium,3-shift,Loader,pro,active,IP66,65,trade-fair,iberia,durability,/case-studies,desktop,self,standard,dedicated,false,false,0,5,11300,2024-10-28,false,true
I00017,food,small,PL,temperate,low,3-shift,Sorter,pro,passive,IP54,65,search,nordics,durability,/spec-sheets,desktop,self,none,pooled,false,true,1,3,11850,2025-01-11,false,true
I00018,construction,small,AE,temperate,high,2-shift,Lifter,consumer,passive,IP54,35,referral,dach,uptime,/case-studies,mobile,on-site,premium,pooled,false,false,0,,4100,2024-03-15,false,true
I00019,food,mid,AE,hot,low,2-shift,Conveyor,consumer,passive,IP54,35,search,nordics,durability,/contact,tablet,self,none,pooled,true,true,1,3,3950,2024-05-18,false,true
I00020,construction,large,AE,temperate,low,1-shift,Loader,industrial,liquid,IP65,90,search,iberia,service,/pricing,desktop,self,premium,dedicated,false,false,0,5,26850,2025-07-20,false,true
I00021,logistics,mid,DE,temperate,low,1-shift,Compactor,pro,passive,IP54,65,referral,iberia,price,/pricing,desktop,guided,standard,dedicated,true,false,1,,11300,2025-02-22,false,true
I00022,logistics,mid,PL,temperate,low,2-shift,Loader,industrial,active,IP66,90,paid-social,iberia,service,/pricing,mobile,on-site,none,dedicated,false,false,1,,27050,2024-08-15,false,true
I00023,construction,small,PL,temperate,medium,2-shift,Hoist,industrial,active,IP66,90,paid-social,nordics,service,/case-studies,desktop,guided,premium,dedicated,false,false,2,,26400,2024-05-22,false,true
I00024,logistics,small,DE,temperate,high,2-shift,Loader,consumer,passive,IP66,35,search,middle-east,uptime,/pricing,desktop,self,standard,dedicated,false,false,1,,8500,2024-10-31,false,true
I00025,logistics,large,MA,hot,medium,1-shift,Loader,industrial,active,IP66,90,trade-fair,middle-east,uptime,/products,desktop,self,standard,dedicated,false,false,0,5,81150,2024-07-29,false,true
I00026,mining,small,AE,hot,low,2-shift,Sorter,pro,liquid,IP66,65,search,nordics,durability,/pricing,mobile,guided,premium,pooled,false,true,2,,11600,2024-08-09,false,true
I00027,mining,small,MA,hot,medium,1-shift,Conveyor,industrial,active,IP65,90,distributor-ME,middle-east,uptime,/spec-sheets,mobile,on-site,standard,pooled,true,true,1,4,54200,2024-12-11,false,true
I00028,food,small,PL,temperate,low,1-shift,Lifter,consumer,passive,IP54,35,trade-fair,benelux,price,/case-studies,mobile,self,none,dedicated,false,false,0,,4100,2025-04-17,false,true
I00029,construction,mid,NO,temperate,low,1-shift,Lifter,consumer,active,IP65,35,search,nordics,durability,/contact,desktop,on-site,premium,pooled,false,true,1,3,4500,2024-03-06,false,true
I00030,logistics,small,AE,hot,high,3-shift,Lifter,pro,passive,IP65,65,paid-social,iberia,service,/contact,mobile,on-site,standard,dedicated,false,false,0,5,35250,2024-04-17,false,true
I00031,logistics,large,MA,hot,medium,1-shift,Lifter,industrial,liquid,IP66,90,trade-fair,nordics,service,/contact,mobile,guided,standard,dedicated,false,false,0,5,27000,2025-07-18,false,true
I00032,food,mid,DE,temperate,low,3-shift,Loader,pro,liquid,IP54,65,referral,iberia,price,/products,mobile,on-site,standard,pooled,true,true,1,,11850,2024-09-09,false,true
I00033,mining,small,SE,arctic,high,3-shift,Compactor,pro,active,IP65,65,referral,nordics,uptime,/spec-sheets,desktop,on-site,standard,dedicated,false,false,0,5,23200,2024-08-01,false,true
I00034,construction,small,AE,hot,low,1-shift,Sorter,pro,passive,IP54,65,distributor-ME,middle-east,uptime,/contact,desktop,self,standard,dedicated,true,false,3,2,11850,2024-10-23,true,false
I00035,logistics,mid,PL,hot,high,3-shift,Conveyor,pro,liquid,IP65,65,paid-social,dach,service,/contact,desktop,guided,standard,dedicated,true,false,2,,23400,2024-06-17,false,true
I00036,food,small,MA,temperate,low,2-shift,Loader,pro,passive,IP65,65,search,middle-east,uptime,/contact,mobile,on-site,standard,pooled,false,false,0,5,11200,2025-03-14,false,true
I00037,food,small,PL,temperate,medium,1-shift,Conveyor,pro,passive,IP66,65,referral,dach,uptime,/pricing,mobile,guided,standard,dedicated,false,false,0,,34800,2025-04-19,false,true
