campaign_id,channel,region,message_angle,spend
C0000,paid-social,nordics,service,64500
C0001,paid-social,dach,service,56500
C0002,paid-social,iberia,service,37000
C0003,paid-social,middle-east,durability,59500
C0004,paid-social,benelux,durability,83500
C0100,search,nordics,durability,27000
C0101,search,dach,service,68500
C0102,search,iberia,service,19000
C0103,search,middle-east,uptime,69500
C0104,search,benelux,durability,11500
C0200,trade-fair,nordics,service,64500
C0201,trade-fair,dach,uptime,85500
C0202,trade-fair,iberia,durability,47000
C0203,trade-fair,middle-east,uptime,45000
C0204,trade-fair,benelux,price,40500
C0303,distributor-ME,middle-east,uptime,20000
C0400,referral,nordics,uptime,80500
C0401,referral,dach,uptime,56000
C0402,referral,iberia,price,71000
C0403,referral,middle-east,service,22500
C0404,referral,benelux,price,60500
