customer_id,name,industry,size_band,country
K0001,Logistics SA 1,logistics,large,PL
K0002,Food AB 2,food,small,NO
K0003,Food AB 3,food,large,ES
K0004,Construction GmbH 4,construction,large,SA
K0005,Logistics Group 5,logistics,mid,AE
K0006,Food Works 6,food,small,ES
K0007,Logistics GmbH 7,logistics,small,ES
K0008,Construction GmbH 8,construction,small,AE
K0009,Construction SA 9,construction,small,DE
K0010,Logistics SA 10,logistics,large,ES
K0011,Food Oy 11,food,large,SE
K0012,Logistics Oy 12,logistics,large,DE
K0013,Construction Group 13,construction,large,AE
K0014,Logistics GmbH 14,logistics,large,PL
K0015,Food Oy 15,food,small,SA
K0016,Mining AB 16,mining,small,NO
K0017,Logistics AB 17,logistics,small,NO
K0018,Construction Group 18,construction,small,PL
K0019,Food Works 19,food,small,FI
K0020,Logistics Oy 20,logistics,small,AE
K0021,Construction Group 21,construction,large,SA
K0022,Logistics AB 22,logistics,small,DE
K0023,Construction SA 23,construction,mid,AE
K0024,Logistics SA 24,logistics,small,DE
K0025,Construction GmbH 25,construction,small,MA
K0026,Mining AB 26,mining,mid,ES
K0027,Logistics Group 27,logistics,small,MA
K0028,Logistics Oy 28,logistics,small,SA
K0029,Mining GmbH 29,mining,mid,PL
K0030,Construction SA 30,construction,small,ES
K0031,Food Oy 31,food,large,MA
K0032,Food Works 32,food,large,FI
K0033,Construction Oy 33,construction,mid,MA
K0034,Logistics SA 34,logistics,small,DE
K0035,Construction SA 35,construction,small,FI
K0036,Logistics Works 36,logistics,mid,SA
K0037,Food SA 37,food,small,FI
K0038,Logistics GmbH 38,logistics,small,AE
K0039,Food GmbH 39,food,small,SA
K0040,Logistics Group 40,logistics,small,NO
K0041,Construction Works 41,construction,small,ES
K0042,Mining Oy 42,mining,small,AE
K0043,Logistics GmbH 43,logistics,large,MA
K0044,Mining Works 44,mining,small,NO
K0045,Mining SA 45,mining,large,SA
K0046,Food SA 46,food,mid,PL
K0047,Mining AB 47,mining,small,DE
K0048,Food SA 48,food,small,PL
K0049,Logistics GmbH 49,logistics,small,PL
K0050,Food SA 50,food,mid,ES
K0051,Mining Group 51,mining,small,SE
K0052,Food SA 52,food,mid,AE
K0053,Construction Group 53,construction,large,DE
K0054,Food Group 54,food,mid,MA
K0055,Food Works 55,food,small,FI
K0056,Construction SA 56,construction,mid,SE
K0057,Food Group 57,food,mid,ES
K0058,Mining Oy 58,mining,small,SE
K0059,Construction Works 59,construction,small,AE
K0060,Construction AB 60,construction,mid,FI
K0061,Mining SA 61,mining,small,SE
K0062,Logistics AB 62,logistics,small,AE
K0063,Construction Works 63,construction,small,NO
K0064,Logistics AB 64,logistics,small,FI
K0065,Construction SA 65,construction,mid,MA
K0066,Logistics Oy 66,logistics,large,AE
K0067,Mining Works 67,mining,large,AE
K0068,Construction Group 68,construction,mid,ES
K0069,Mining Group 69,mining,small,SE
K0070,Logistics GmbH 70,logistics,small,NO
K0071,Construction Oy 71,construction,small,FI
K0072,Mining SA 72,mining,mid,NO
K0073,Mining Works 73,mining,mid,AE
K0074,Mining Works 74,mining,small,SE
K0075,Construction GmbH 75,construction,large,AE
K0076,Logistics Group 76,logistics,small,NO
K0077,Food GmbH 77,food,small,DE
K0078,Logistics SA 78,logistics,mid,MA
K0079,Logistics AB 79,logistics,small,NO
K0080,Mining AB 80,mining,large,DE
K0081,Logistics Oy 81,logistics,small,MA
K0082,Logistics SA 82,logistics,small,AE
K0083,Logistics SA 83,logistics,small,SE
K0084,Construction GmbH 84,construction,mid,PL
K0085,Food Works 85,food,small,ES
K0086,Construction GmbH 86,construction,large,MA
K0087,Food Group 87,food,small,SE
K0088,Mining Group 88,mining,large,SE
K0089,Mining Works 89,mining,small,NO
K0090,Mining Oy 90,mining,small,FI
K0091,Food Oy 91,food,mid,SA
K0092,Food Oy 92,food,large,MA
K0093,Construction Oy 93,construction,small,DE
K0094,Mining AB 94,mining,small,SE
K0095,Construction Group 95,construction,large,PL
K0096,Food Works 96,food,small,PL
K0097,Food Works 97,food,small,SE
K0098,Mining SA 98,mining,large,PL
K0099,Logistics SA 99,logistics,large,NO
K0100,Logistics GmbH 100,logistics,small,DE
K0101,Mining Oy 101,mining,small,NO
K0102,Food Works 102,food,small,FI
K0103,Construction Group 103,construction,small,NO
K0104,Construction Group 104,construction,small,DE
K0105,Logistics Oy 105,logistics,small,AE
K0106,Food GmbH 106,food,mid,PL
K0107,Mining SA 107,mining,small,MA
K0108,Logistics Oy 108,logistics,mid,PL
K0109,Logistics AB 109,logistics,mid,SA
K0110,Food Group 110,food,small,SE
K0111,Construction Oy 111,construction,small,NO
K0112,Food GmbH 112,food,small,PL
K0113,Food Oy 113,food,small,PL
K0114,Food Oy 114,food,small,MA
K0115,Mining Group 115,mining,large,FI
K0116,Mining Group 116,mining,small,AE
K0117,Construction SA 117,construction,mid,PL
K0118,Mining SA 118,mining,small,SA
K0119,Mining Oy 119,mining,small,MA
K0120,Logistics AB 120,logistics,small,FI
K0121,Mining AB 121,mining,small,DE
K0122,Food Group 122,food,large,MA
K0123,Logistics GmbH 123,logistics,mid,PL
K0124,Mining SA 124,mining,large,NO
K0125,Construction SA 125,construction,mid,ES
K0126,Mining Works 126,mining,small,AE
K0127,Logistics Oy 127,logistics,large,NO
K0128,Logistics Oy 128,logistics,mid,FI
