event_id,customer,session,install,type,page,body,value,ts
V000001,K0222,E00001,I00001,ad_click,/case-studies,,,2025-02-24
V000002,K0222,E00001,I00001,page_view,/pricing,,,2025-02-25
V000003,K0222,E00001,I00001,page_view,/contact,,,2025-02-26
V000004,K0222,E00001,I00001,spec_download,,,,2025-02-28
V000005,K0222,E00001,I00001,quote_request,,,,2025-03-05
V000006,K0222,E00001,I00001,purchase,,,79200,2025-03-26
V000007,K0222,E00001,I00001,install,,,,2025-04-25
V000008,K0222,E00001,I00001,reorder,,,,2026-05-30
V000009,K0379,E00002,I00002,ad_click,/case-studies,,,2025-04-19
V000010,K0379,E00002,I00002,page_view,/spec-sheets,,,2025-04-20
V000011,K0379,E00002,I00002,page_view,/contact,,,2025-04-21
V000012,K0379,E00002,I00002,page_view,/contact,,,2025-04-22
V000013,K0379,E00002,I00002,spec_download,,,,2025-04-23
V000014,K0379,E00002,I00002,quote_request,,,,2025-04-28
V000015,K0379,E00002,I00002,purchase,,,53100,2025-05-19
V000016,K0379,E00002,I00002,install,,,,2025-06-18
V000017,K0379,E00002,I00002,feedback_given,,"reliable so far, operators like the controls",,2026-09-03
V000018,K0379,E00002,I00002,reorder,,,,2026-07-23
V000019,K0285,E00003,I00003,ad_click,/spec-sheets,,,2024-03-06
V000020,K0285,E00003,I00003,page_view,/spec-sheets,,,2024-03-07
V000021,K0285,E00003,I00003,page_view,/pricing,,,2024-03-08
V000022,K0285,E00003,I00003,spec_download,,,,2024-03-10
V000023,K0285,E00003,I00003,quote_request,,,,2024-03-15
V000024,K0285,E00003,I00003,purchase,,,35550,2024-04-05
V000025,K0285,E00003,I00003,install,,,,2024-05-05
V000026,K0285,E00003,I00003,fault_report,,"drive wear and vibration, continuous three shift operation since install",,2024-12-12
V000027,K0285,E00003,I00003,ticket_open,,"drive wear and vibration, continuous three shift operation since install",,2024-12-12
V000028,K0285,E00003,I00003,reorder,,,,2025-06-09
V000029,K0371,E00004,I00004,ad_click,/case-studies,,,2024-06-12
V000030,K0371,E00004,I00004,page_view,/spec-sheets,,,2024-06-13
V000031,K0371,E00004,I00004,page_view,/products,,,2024-06-14
V000032,K0371,E00004,I00004,spec_download,,,,2024-06-16
V000033,K0371,E00004,I00004,quote_request,,,,2024-06-21
V000034,K0371,E00004,I00004,purchase,,,26600,2024-07-12
V000035,K0371,E00004,I00004,install,,,,2024-08-11
V000036,K0371,E00004,I00004,ticket_open,,"control board error code 21, replaced the relay, fault cleared",,2024-10-24
V000037,K0371,E00004,I00004,feedback_given,,"solid machine, support answered quickly when we asked",,2025-12-06
V000038,K0371,E00004,I00004,reorder,,,,2025-09-15
V000039,K0423,E00005,I00005,ad_click,/contact,,,2024-11-13
V000040,K0423,E00005,I00005,page_view,/contact,,,2024-11-14
V000041,K0423,E00005,I00005,page_view,/spec-sheets,,,2024-11-15
V000042,K0423,E00005,I00005,spec_download,,,,2024-11-17
V000043,K0423,E00005,I00005,quote_request,,,,2024-11-22
V000044,K0423,E00005,I00005,purchase,,,11850,2024-12-13
V000045,K0423,E00005,I00005,install,,,,2025-01-12
V000046,K0423,E00005,I00005,fault_report,,"drive wear and vibration, continuous three shift operation since install",,2025-05-27
V000047,K0423,E00005,I00005,ticket_open,,"drive wear and vibration, continuous three shift operation since install",,2025-05-27
V000048,K0423,E00005,I00005,feedback_given,,"reliable so far, operators like the controls",,2025-09-26
V000049,K0423,E00005,I00005,reorder,,,,2026-02-16
V000050,K0379,E00006,I00006,ad_click,/products,,,2024-05-24
V000051,K0379,E00006,I00006,page_view,/spec-sheets,,,2024-05-25
V000052,K0379,E00006,I00006,page_view,/products,,,2024-05-26
V000053,K0379,E00006,I00006,page_view,/case-studies,,,2024-05-27
V000054,K0379,E00006,I00006,quote_request,,,,2024-06-02
V000055,K0379,E00006,I00006,purchase,,,13500,2024-06-23
V000056,K0379,E00006,I00006,install,,,,2024-07-23
V000057,K0379,E00006,I00006,lapse,,,,2025-08-27
V000058,K0062,E00007,I00007,ad_click,/contact,,,2025-04-26
V000059,K0062,E00007,I00007,page_view,/case-studies,,,2025-04-27
V000060,K0062,E00007,I00007,spec_download,,,,2025-04-30
V000061,K0062,E00007,I00007,quote_request,,,,2025-05-05
V000062,K0062,E00007,I00007,purchase,,,21250,2025-05-26
V000063,K0062,E00007,I00007,install,,,,2025-06-25
V000064,K0062,E00007,I00007,fault_report,,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",,2026-02-17
