install_id,order_p,customer,product,site,session,commissioning,service_plan,support_tier,ts
I00001,O00001,K0222,P027,S02221,E00001,on-site,none,dedicated,2025-03-27
I00002,O00002,K0379,P028,S03792,E00002,on-site,standard,pooled,2025-06-27
I00003,O00003,K0285,P040,S02851,E00003,guided,standard,dedicated,2024-03-31
I00004,O00004,K0371,P006,S03712,E00004,on-site,none,pooled,2024-08-11
I00005,O00005,K0423,P040,S04232,E00005,self,none,dedicated,2025-01-01
I00006,O00006,K0379,P016,S03792,E00006,self,standard,dedicated,2024-08-05
I00007,O00007,K0062,P036,S00622,E00007,on-site,standard,pooled,2025-06-02
I00008,O00008,K0201,P037,S02011,E00008,on-site,standard,pooled,2025-05-30
I00009,O00009,K0225,P038,S02251,E00009,self,none,pooled,2024-04-16
I00010,O00010,K0113,P021,S01131,E00010,self,none,pooled,2025-02-06
I00011,O00011,K0490,P015,S04901,E00011,self,standard,pooled,2025-02-21
I00012,O00012,K0429,P041,S04291,E00012,guided,none,dedicated,2025-04-30
I00013,O00013,K0001,P028,S00011,E00013,self,standard,pooled,2025-02-06
I00014,O00014,K0386,P020,S03861,E00014,self,standard,dedicated,2024-10-02
I00015,O00015,K0325,P026,S03251,E00015,on-site,standard,dedicated,2024-05-14
I00016,O00016,K0209,P039,S02091,E00016,self,standard,dedicated,2024-10-28
I00017,O00017,K0113,P031,S01131,E00017,self,none,pooled,2025-01-11
I00018,O00018,K0181,P001,S01812,E00018,on-site,premium,pooled,2024-03-15
I00019,O00019,K0140,P008,S01401,E00019,self,none,pooled,2024-05-18
I00020,O00020,K0464,P042,S04641,E00020,self,premium,dedicated,2025-07-20
I00021,O00021,K0470,P017,S04701,E00021,guided,standard,dedicated,2025-02-22
I00022,O00022,K0123,P041,S01232,E00022,on-site,none,dedicated,2024-08-15
I00023,O00023,K0018,P027,S00182,E00023,guided,premium,dedicated,2024-05-22
I00024,O00024,K0397,P036,S03972,E00024,self,standard,dedicated,2024-10-31
I00025,O00025,K0404,P041,S04041,E00025,self,standard,dedicated,2024-07-29
I00026,O00026,K0126,P033,S01261,E00026,guided,premium,pooled,2024-08-09
I00027,O00027,K0199,P013,S01991,E00027,on-site,standard,pooled,2024-12-11
I00028,O00028,K0048,P001,S00481,E00028,self,none,dedicated,2025-04-17
I00029,O00029,K0349,P002,S03492,E00029,on-site,premium,pooled,2024-03-06
I00030,O00030,K0062,P003,S00621,E00030,on-site,standard,dedicated,2024-04-17
I00031,O00031,K0159,P007,S01593,E00031,guided,standard,dedicated,2025-07-18
I00032,O00032,K0394,P040,S03941,E00032,on-site,standard,pooled,2024-09-09
I00033,O00033,K0322,P018,S03221,E00033,on-site,standard,dedicated,2024-08-01
I00034,O00034,K0432,P031,S04322,E00034,self,standard,dedicated,2024-10-23
I00035,O00035,K0108,P012,S01082,E00035,guided,standard,dedicated,2024-06-17
I00036,O00036,K0300,P038,S03002,E00036,on-site,standard,pooled,2025-03-14
I00037,O00037,K0112,P010,S01121,E00037,guided,standard,dedicated,2025-04-19
I00038,O00038,K0279,P002,S02791,E00038,on-site,standard,pooled,2024-02-07
I00039,O00039,K0480,P027,S04801,E00039,guided,standard,dedicated,2024-07-30
I00040,O00040,K0006,P010,S00061,E00040,guided,none,pooled,2024-03-28
I00041,O00041,K0135,P037,S01351,E00041,guided,premium,pooled,2024-07-11
I00042,O00042,K0372,P025,S03721,E00042,self,none,dedicated,2024-05-02
I00043,O00043,K0518,P021,S05181,E00043,self,premium,pooled,2025-02-25
I00044,O00044,K0447,P026,S04471,E00044,self,premium,pooled,2024-08-22
I00045,O00045,K0090,P033,S00901,E00045,on-site,none,pooled,2024-05-30
I00046,O00046,K0368,P013,S03681,E00046,guided,standard,pooled,2024-03-14
I00047,O00047,K0065,P007,S00651,E00047,guided,none,dedicated,2024-10-11
