order_id,customer,session,product,qty,value,ts
O00001,K0222,E00001,P027,3,79200,2025-03-10
O00002,K0379,E00002,P028,2,53100,2025-05-18
O00003,K0285,E00003,P040,3,35550,2024-03-20
O00004,K0371,E00004,P006,1,26600,2024-07-21
O00005,K0423,E00005,P040,1,11850,2024-11-18
O00006,K0379,E00006,P016,3,13500,2024-06-14
O00007,K0062,E00007,P036,5,21250,2025-05-12
O00008,K0201,E00008,P037,1,4100,2025-05-01
O00009,K0225,E00009,P038,3,33600,2024-04-05
O00010,K0113,E00010,P021,1,26550,2025-01-20
O00011,K0490,E00011,P015,5,21500,2025-01-01
O00012,K0429,E00012,P041,1,27050,2025-03-27
O00013,K0001,E00013,P028,1,26550,2025-01-07
O00014,K0386,E00014,P020,1,26600,2024-08-04
O00015,K0325,E00015,P026,2,22500,2024-04-11
O00016,K0209,E00016,P039,1,11300,2024-09-11
O00017,K0113,E00017,P031,1,11850,2024-12-18
O00018,K0181,E00018,P001,1,4100,2024-02-17
O00019,K0140,E00019,P008,1,3950,2024-04-23
O00020,K0464,E00020,P042,1,26850,2025-06-07
O00021,K0470,E00021,P017,1,11300,2025-01-06
O00022,K0123,E00022,P041,1,27050,2024-07-24
O00023,K0018,E00023,P027,1,26400,2024-05-04
O00024,K0397,E00024,P036,2,8500,2024-09-27
O00025,K0404,E00025,P041,3,81150,2024-07-19
O00026,K0126,E00026,P033,1,11600,2024-06-14
O00027,K0199,E00027,P013,2,54200,2024-11-21
O00028,K0048,E00028,P001,1,4100,2025-03-02
O00029,K0349,E00029,P002,1,4500,2024-02-10
O00030,K0062,E00030,P003,3,35250,2024-03-20
O00031,K0159,E00031,P007,1,27000,2025-06-23
O00032,K0394,E00032,P040,1,11850,2024-08-06
O00033,K0322,E00033,P018,2,23200,2024-07-21
O00034,K0432,E00034,P031,1,11850,2024-09-29
O00035,K0108,E00035,P012,2,23400,2024-04-28
O00036,K0300,E00036,P038,1,11200,2025-01-30
O00037,K0112,E00037,P010,3,34800,2025-03-20
O00038,K0279,E00038,P002,2,9000,2024-01-22
O00039,K0480,E00039,P027,1,26400,2024-07-01
O00040,K0006,E00040,P010,1,11600,2024-02-16
O00041,K0135,E00041,P037,1,4100,2024-07-04
O00042,K0372,E00042,P025,2,23600,2024-03-22
O00043,K0518,E00043,P021,3,79650,2025-02-14
O00044,K0447,E00044,P026,1,11250,2024-07-05
O00045,K0090,E00045,P033,1,11600,2024-05-09
O00046,K0368,E00046,P013,1,27100,2024-03-07
O00047,K0065,E00047,P007,1,27000,2024-09-24
O00048,K0079,E00048,P017,5,56500,2024-02-24
O00049,K0354,E00049,P004,2,23200,2024-04-16
O00050,K0329,E00050,P002,2,9000,2024-06-04
O00051,K0076,E00051,P005,1,11750,2024-03-21
O00052,K0294,E00052,P023,2,7700,2024-05-02
