reorder_id,install,period,reordered
R00001,I00001,2026-Q2,true
R00002,I00002,2026-Q3,true
R00003,I00003,2025-Q2,true
R00004,I00004,2025-Q3,true
R00005,I00005,2026-Q1,true
R00006,I00006,2025-Q3,false
R00007,I00007,2026-Q3,true
R00008,I00008,2026-Q3,false
R00009,I00009,2025-Q2,true
R00010,I00010,2026-Q1,true
R00011,I00011,2026-Q1,false
R00012,I00012,2026-Q2,true
R00013,I00013,2026-Q1,true
R00014,I00014,2025-Q4,true
R00015,I00015,2025-Q2,true
R00016,I00016,2025-Q4,true
R00017,I00017,2026-Q1,true
R00018,I00018,2025-Q2,true
R00019,I00019,2025-Q2,true
R00020,I00020,2026-Q3,true
R00021,I00021,2026-Q1,true
R00022,I00022,2025-Q3,true
R00023,I00023,2025-Q2,true
R00024,I00024,2025-Q4,true
R00025,I00025,2025-Q3,true
R00026,I00026,2025-Q3,true
R00027,I00027,2026-Q1,true
R00028,I00028,2026-Q2,true
R00029,I00029,2025-Q2,true
R00030,I00030,2025-Q2,true
R00031,I00031,2026-Q3,true
R00032,I00032,2025-Q4,true
R00033,I00033,2025-Q3,true
R00034,I00034,2025-Q4,false
R00035,I00035,2025-Q3,true
R00036,I00036,2026-Q2,true
R00037,I00037,2026-Q2,true
R00038,I00038,2025-Q1,true
R00039,I00039,2025-Q3,true
R00040,I00040,2025-Q2,true
R00041,I00041,2025-Q3,true
R00042,I00042,2025-Q2,false
R00043,I00043,2026-Q2,true
R00044,I00044,2025-Q3,true
R00045,I00045,2025-Q3,true
R00046,I00046,2025-Q2,true
R00047,I00047,2025-Q4,true
R00048,I00048,2025-Q2,true
R00049,I00049,2025-Q2,true
R00050,I00050,2025-Q3,false
R00051,I00051,2025-Q2,true
R00052,I00052,2025-Q2,true
R00053,I00053,2026-Q1,false
R00054,I00054,2026-Q3,false
R00055,I00055,2025-Q2,true
R00056,I00056,2025-Q3,true
R00057,I00057,2026-Q3,true
R00058,I00058,2025-Q2,true
R00059,I00059,2026-Q3,true
R00060,I00060,2026-Q2,true
R00061,I00061,2026-Q3,true
R00062,I00062,2025-Q2,true
R00063,I00063,2026-Q1,true
R00064,I00064,2026-Q1,true
R00065,I00065,2026-Q1,true
R00066,I00066,2025-Q4,true
R00067,I00067,2025-Q3,true
R00068,I00068,2025-Q4,true
R00069,I00069,2026-Q1,true
