session_id,campaign,customer,landing_page,device,ts
E00001,C0004,K0222,/case-studies,desktop,2025-02-24
E00002,C0203,K0379,/case-studies,mobile,2025-04-19
E00003,C0203,K0285,/spec-sheets,desktop,2024-03-06
E00004,C0003,K0371,/case-studies,mobile,2024-06-12
E00005,C0004,K0423,/contact,desktop,2024-11-13
E00006,C0303,K0379,/products,desktop,2024-05-24
E00007,C0303,K0062,/contact,desktop,2025-04-26
E00008,C0102,K0201,/pricing,mobile,2025-04-11
E00009,C0200,K0225,/contact,desktop,2024-03-28
E00010,C0202,K0113,/products,desktop,2025-01-07
E00011,C0102,K0490,/spec-sheets,desktop,2024-11-22
E00012,C0303,K0429,/spec-sheets,desktop,2025-03-04
E00013,C0103,K0001,/products,desktop,2024-12-11
E00014,C0303,K0386,/products,desktop,2024-07-28
E00015,C0303,K0325,/pricing,desktop,2024-03-06
E00016,C0202,K0209,/case-studies,desktop,2024-09-08
E00017,C0100,K0113,/spec-sheets,desktop,2024-11-19
E00018,C0401,K0181,/case-studies,mobile,2024-02-10
E00019,C0100,K0140,/contact,tablet,2024-04-03
E00020,C0102,K0464,/pricing,desktop,2025-05-26
E00021,C0402,K0470,/pricing,desktop,2024-12-13
E00022,C0002,K0123,/pricing,mobile,2024-07-17
E00023,C0000,K0018,/case-studies,desktop,2024-04-11
E00024,C0103,K0397,/pricing,desktop,2024-09-11
E00025,C0203,K0404,/products,desktop,2024-07-09
E00026,C0100,K0126,/pricing,mobile,2024-05-11
E00027,C0303,K0199,/spec-sheets,mobile,2024-11-15
E00028,C0204,K0048,/case-studies,mobile,2025-02-13
E00029,C0100,K0349,/contact,desktop,2024-01-08
E00030,C0002,K0062,/contact,mobile,2024-02-09
E00031,C0200,K0159,/contact,mobile,2025-05-11
E00032,C0402,K0394,/products,mobile,2024-06-30
E00033,C0400,K0322,/spec-sheets,desktop,2024-07-12
E00034,C0303,K0432,/contact,desktop,2024-09-17
E00035,C0001,K0108,/contact,desktop,2024-03-21
E00036,C0103,K0300,/contact,mobile,2025-01-24
E00037,C0401,K0112,/pricing,mobile,2025-03-16
E00038,C0203,K0279,/contact,tablet,2024-01-08
E00039,C0001,K0480,/pricing,desktop,2024-06-28
E00040,C0201,K0006,/contact,desktop,2024-02-13
E00041,C0102,K0135,/spec-sheets,tablet,2024-05-29
E00042,C0000,K0372,/pricing,desktop,2024-03-12
E00043,C0303,K0518,/pricing,desktop,2025-02-07
E00044,C0000,K0447,/case-studies,desktop,2024-06-14
E00045,C0303,K0090,/case-studies,desktop,2024-04-01
E00046,C0204,K0368,/pricing,mobile,2024-02-05
E00047,C0104,K0065,/products,mobile,2024-09-13
E00048,C0103,K0079,/case-studies,mobile,2024-02-06
E00049,C0201,K0354,/spec-sheets,desktop,2024-04-08
E00050,C0104,K0329,/contact,desktop,2024-05-31
E00051,C0100,K0076,/case-studies,desktop,2024-02-26
E00052,C0103,K0294,/contact,desktop,2024-03-30
E00053,C0402,K0467,/pricing,desktop,2024-10-20
E00054,C0303,K0351,/pricing,desktop,2025-05-22
E00055,C0100,K0172,/spec-sheets,desktop,2024-02-16
E00056,C0303,K0277,/pricing,mobile,2024-05-15
E00057,C0303,K0119,/spec-sheets,desktop,2025-06-09
E00058,C0303,K0285,/spec-sheets,desktop,2024-04-02
E00059,C0201,K0402,/contact,tablet,2025-05-09
E00060,C0400,K0190,/pricing,desktop,2025-01-21
E00061,C0203,K0423,/contact,tablet,2025-05-25
E00062,C0201,K0087,/contact,desktop,2024-01-24
E00063,C0400,K0003,/spec-sheets,desktop,2024-12-04
E00064,C0003,K0306,/contact,mobile,2024-12-25
E00065,C0001,K0140,/pricing,desktop,2024-10-16
E00066,C0101,K0360,/pricing,tablet,2024-07-23
E00067,C0204,K0387,/contact,tablet,2024-04-25
E00068,C0204,K0054,/pricing,tablet,2024-09-08
E00069,C0202,K0308,/products,mobile,2024-12-20
E00070,C0101,K0414,/case-studies,desktop,2024-02-23
E00071,C0003,K0449,/case-studies,desktop,2024-05-31
E00072,C0000,K0195,/spec-sheets,desktop,2024-01-19
E00073,C0400,K0382,/pricing,mobile,2024-12-22
E00074,C0402,K0275,/spec-sheets,tablet,2024-06-01
E00075,C0201,K0072,/contact,desktop,2025-05-24
E00076,C0100,K0251,/contact,desktop,2024-03-21
E00077,C0102,K0321,/case-studies,desktop,2024-02-23
E00078,C0400,K0241,/pricing,desktop,2024-11-12
E00079,C0000,K0159,/spec-sheets,tablet,2024-05-27
E00080,C0102,K0180,/spec-sheets,desktop,2025-05-13
E00081,C0003,K0303,/case-studies,mobile,2024-10-14
E00082,C0303,K0310,/case-studies,desktop,2024-05-22
E00083,C0102,K0346,/case-studies,desktop,2024-10-28
E00084,C0001,K0517,/products,tablet,2025-05-29
E00085,C0303,K0180,/products,desktop,2024-06-26
E00086,C0303,K0438,/spec-sheets,desktop,2024-06-30
E00087,C0003,K0227,/products,desktop,2024-08-19
E00088,C0000,K0491,/pricing,mobile,2024-05-19
E00089,C0000,K0137,/products,desktop,2025-03-18
E00090,C0403,K0412,/spec-sheets,desktop,2024-04-19
E00091,C0203,K0177,/contact,mobile,2025-02-13
E00092,C0101,K0308,/case-studies,mobile,2025-01-08
E00093,C0401,K0366,/contact,desktop,2025-05-14
E00094,C0102,K0413,/case-studies,mobile,2024-04-13
E00095,C0104,K0458,/spec-sheets,desktop,2024-07-09
E00096,C0403,K0098,/contact,mobile,2025-05-14
E00097,C0100,K0482,/pricing,desktop,2024-05-16
E00098,C0303,K0218,/contact,desktop,2024-01-10
E00099,C0303,K0024,/spec-sheets,mobile,2024-10-10
E00100,C0200,K0270,/contact,desktop,2024-11-17
E00101,C0101,K0291,/spec-sheets,desktop,2024-05-06
E00102,C0001,K0144,/case-studies,mobile,2024-07-28
E00103,C0103,K0308,/pricing,desktop,2025-02-21
E00104,C0003,K0366,/pricing,desktop,2025-02-10
E00105,C0202,K0406,/case-studies,mobile,2024-10-03
E00106,C0200,K0413,/case-studies,desktop,2024-03-27
E00107,C0204,K0187,/case-studies,desktop,2025-02-01
E00108,C0202,K0397,/products,desktop,2024-03-08
E00109,C0303,K0471,/spec-sheets,mobile,2024-01-27
E00110,C0303,K0221,/pricing,desktop,2024-06-24
E00111,C0204,K0292,/spec-sheets,mobile,2025-01-14
E00112,C0303,K0518,/products,desktop,2025-05-24
E00113,C0203,K0181,/contact,mobile,2024-01-24
E00114,C0004,K0044,/contact,desktop,2025-05-14
E00115,C0104,K0206,/products,mobile,2024-03-02
E00116,C0303,K0389,/pricing,desktop,2025-03-12
E00117,C0303,K0350,/pricing,mobile,2024-07-19
E00118,C0303,K0038,/case-studies,mobile,2024-08-16
E00119,C0402,K0437,/case-studies,desktop,2024-02-11
E00120,C0303,K0251,/spec-sheets,desktop,2024-11-02
E00121,C0401,K0153,/products,desktop,2025-03-21
E00122,C0303,K0392,/contact,desktop,2024-12-17
E00123,C0000,K0401,/contact,desktop,2024-08-01
E00124,C0002,K0334,/products,desktop,2024-06-21
E00125,C0002,K0311,/contact,desktop,2024-11-26
E00126,C0303,K0075,/pricing,desktop,2024-06-26
E00127,C0202,K0110,/products,desktop,2024-11-28
E00128,C0201,K0337,/spec-sheets,desktop,2024-07-25
E00129,C0403,K0040,/pricing,desktop,2025-03-19
E00130,C0102,K0199,/pricing,mobile,2025-01-07
E00131,C0101,K0106,/contact,mobile,2025-05-13
E00132,C0303,K0518,/products,desktop,2025-01-24
E00133,C0003,K0114,/pricing,desktop,2024-07-01
E00134,C0303,K0337,/contact,tablet,2024-06-01
E00135,C0404,K0206,/spec-sheets,desktop,2025-03-25
E00136,C0204,K0053,/contact,mobile,2024-02-24
E00137,C0104,K0451,/pricing,tablet,2025-05-03
E00138,C0303,K0272,/spec-sheets,mobile,2024-03-06
E00139,C0403,K0087,/spec-sheets,mobile,2024-04-07
E00140,C0104,K0221,/products,mobile,2025-01-26
E00141,C0403,K0223,/case-studies,desktop,2024-05-02
E00142,C0203,K0036,/products,desktop,2024-10-06
E00143,C0102,K0508,/case-studies,desktop,2024-04-11
E00144,C0403,K0120,/spec-sheets,desktop,2025-04-29
E00145,C0201,K0193,/products,desktop,2024-08-14
E00146,C0400,K0486,/products,desktop,2025-01-29
E00147,C0204,K0041,/contact,tablet,2024-02-27
E00148,C0002,K0300,/products,desktop,2024-02-15
E00149,C0001,K0153,/case-studies,desktop,2024-07-01
E00150,C0100,K0235,/pricing,desktop,2025-01-17
E00151,C0303,K0202,/case-studies,mobile,2024-09-06
E00152,C0303,K0478,/pricing,desktop,2025-05-27
E00153,C0303,K0022,/products,desktop,2024-11-05
E00154,C0104,K0431,/pricing,desktop,2024-03-05
E00155,C0200,K0097,/products,mobile,2024-02-13
E00156,C0402,K0401,/pricing,desktop,2024-04-08
E00157,C0201,K0419,/pricing,desktop,2024-02-03
E00158,C0403,K0120,/case-studies,mobile,2024-02-24
E00159,C0101,K0050,/products,mobile,2025-01-30
E00160,C0303,K0438,/case-studies,mobile,2024-08-05
E00161,C0202,K0510,/case-studies,mobile,2025-03-15
E00162,C0004,K0509,/case-studies,mobile,2024-12-22
E00163,C0104,K0230,/pricing,desktop,2024-08-12
E00164,C0400,K0258,/pricing,desktop,2024-06-09
E00165,C0303,K0439,/products,desktop,2024-12-14
E00166,C0201,K0180,/products,desktop,2025-03-21
E00167,C0403,K0490,/products,desktop,2024-10-15
E00168,C0400,K0176,/products,desktop,2025-02-18
E00169,C0102,K0273,/spec-sheets,desktop,2024-03-30
E00170,C0303,K0390,/spec-sheets,desktop,2024-04-20
E00171,C0100,K0278,/spec-sheets,desktop,2024-04-23
E00172,C0104,K0363,/contact,desktop,2024-03-06
E00173,C0401,K0087,/case-studies,desktop,2024-07-04
E00174,C0104,K0401,/spec-sheets,mobile,2024-12-13
E00175,C0400,K0162,/products,mobile,2024-11-09
E00176,C0200,K0184,/contact,desktop,2024-06-15
E00177,C0003,K0483,/pricing,desktop,2024-02-19
E00178,C0400,K0485,/pricing,desktop,2024-11-05
E00179,C0103,K0475,/spec-sheets,desktop,2025-01-24
E00180,C0104,K0491,/pricing,mobile,2025-03-27
E00181,C0200,K0273,/pricing,tablet,2024-06-12
E00182,C0402,K0240,/contact,desktop,2025-02-25
E00183,C0103,K0210,/pricing,desktop,2024-02-04
E00184,C0102,K0019,/products,mobile,2024-02-07
E00185,C0303,K0233,/spec-sheets,desktop,2024-06-30
E00186,C0203,K0063,/products,desktop,2024-11-19
E00187,C0004,K0084,/pricing,tablet,2024-10-28
E00188,C0400,K0436,/spec-sheets,desktop,2024-12-29
E00189,C0202,K0284,/spec-sheets,desktop,2025-05-30
E00190,C0003,K0447,/products,mobile,2025-04-14
E00191,C0401,K0462,/pricing,mobile,2025-05-11
E00192,C0201,K0379,/products,mobile,2024-04-04
E00193,C0102,K0417,/products,desktop,2024-08-10
E00194,C0401,K0434,/spec-sheets,mobile,2024-02-12
E00195,C0303,K0233,/products,desktop,2025-01-07
E00196,C0403,K0490,/products,desktop,2024-07-31
E00197,C0101,K0513,/spec-sheets,mobile,2024-08-06
E00198,C0400,K0408,/spec-sheets,desktop,2024-09-07
E00199,C0303,K0425,/contact,desktop,2024-07-16
E00200,C0303,K0001,/case-studies,desktop,2024-11-12
E00201,C0303,K0295,/products,desktop,2024-10-30
E00202,C0204,K0105,/case-studies,tablet,2024-08-17
E00203,C0303,K0471,/spec-sheets,mobile,2024-10-19
E00204,C0401,K0255,/case-studies,desktop,2024-07-04
E00205,C0202,K0264,/case-studies,desktop,2024-06-25
E00206,C0002,K0362,/products,desktop,2025-04-02
E00207,C0103,K0341,/case-studies,mobile,2024-06-05
