site_id,customer,climate,dust_level,shift_pattern,altitude_m
S00011,K0001,hot,medium,1-shift,380
S00012,K0001,temperate,medium,1-shift,190
S00021,K0002,temperate,low,3-shift,1170
S00022,K0002,temperate,low,1-shift,330
S00031,K0003,temperate,medium,3-shift,390
S00032,K0003,hot,high,1-shift,830
S00041,K0004,temperate,low,1-shift,1330
S00051,K0005,hot,low,1-shift,290
S00052,K0005,hot,low,1-shift,1070
S00061,K0006,hot,low,3-shift,1130
S00071,K0007,arctic,medium,1-shift,1280
S00081,K0008,hot,low,2-shift,1600
S00091,K0009,temperate,medium,2-shift,20
S00101,K0010,hot,medium,1-shift,1000
S00111,K0011,temperate,low,3-shift,1060
S00121,K0012,temperate,medium,3-shift,310
S00131,K0013,hot,high,1-shift,740
S00132,K0013,temperate,high,2-shift,590
S00141,K0014,temperate,high,3-shift,30
S00151,K0015,hot,medium,1-shift,1610
S00161,K0016,temperate,high,3-shift,550
S00171,K0017,temperate,low,1-shift,870
S00181,K0018,temperate,high,1-shift,1700
S00182,K0018,temperate,medium,2-shift,960
S00191,K0019,arctic,low,3-shift,1480
S00192,K0019,temperate,medium,3-shift,50
S00201,K0020,temperate,high,3-shift,1150
S00202,K0020,hot,high,3-shift,1500
S00211,K0021,hot,high,1-shift,850
S00212,K0021,temperate,low,1-shift,530
S00221,K0022,hot,medium,3-shift,10
S00231,K0023,temperate,medium,2-shift,50
S00241,K0024,temperate,medium,1-shift,940
S00242,K0024,hot,medium,1-shift,170
S00243,K0024,temperate,high,2-shift,1320
S00251,K0025,temperate,medium,3-shift,670
S00261,K0026,hot,medium,2-shift,1050
S00271,K0027,hot,medium,2-shift,360
S00281,K0028,hot,medium,2-shift,930
S00282,K0028,temperate,low,2-shift,1220
S00291,K0029,temperate,low,1-shift,1400
S00301,K0030,hot,low,1-shift,1180
S00302,K0030,temperate,high,3-shift,1330
S00311,K0031,hot,medium,2-shift,1610
S00321,K0032,arctic,medium,2-shift,650
S00331,K0033,hot,high,1-shift,10
S00341,K0034,hot,high,1-shift,210
S00342,K0034,hot,medium,2-shift,820
S00343,K0034,temperate,high,1-shift,1340
S00351,K0035,arctic,high,2-shift,1450
S00352,K0035,arctic,high,1-shift,1320
S00361,K0036,temperate,low,3-shift,350
S00362,K0036,hot,high,1-shift,520
S00371,K0037,temperate,high,1-shift,710
S00381,K0038,hot,low,1-shift,1460
S00382,K0038,hot,low,2-shift,1220
S00391,K0039,temperate,medium,3-shift,530
S00401,K0040,temperate,medium,3-shift,270
S00411,K0041,temperate,low,1-shift,1260
S00421,K0042,hot,medium,2-shift,1230
S00431,K0043,hot,low,1-shift,590
S00432,K0043,hot,medium,1-shift,1550
S00441,K0044,temperate,low,3-shift,430
S00442,K0044,temperate,high,3-shift,290
S00451,K0045,hot,medium,2-shift,790
S00461,K0046,arctic,medium,1-shift,250
S00471,K0047,temperate,high,3-shift,800
S00472,K0047,temperate,low,3-shift,140
S00481,K0048,temperate,low,1-shift,90
S00491,K0049,temperate,high,1-shift,330
S00501,K0050,temperate,medium,1-shift,270
S00502,K0050,hot,medium,2-shift,0
S00503,K0050,hot,low,3-shift,910
S00511,K0051,temperate,low,3-shift,1260
S00521,K0052,temperate,low,3-shift,550
S00531,K0053,temperate,medium,1-shift,0
S00541,K0054,hot,medium,3-shift,340
S00542,K0054,hot,low,2-shift,940
S00551,K0055,temperate,low,3-shift,1320
S00561,K0056,temperate,medium,1-shift,1540
S00562,K0056,hot,high,1-shift,1680
S00563,K0056,arctic,medium,1-shift,1120
S00571,K0057,temperate,low,3-shift,190
S00581,K0058,temperate,medium,3-shift,950
S00582,K0058,temperate,high,2-shift,320
S00591,K0059,arctic,high,3-shift,90
S00601,K0060,temperate,high,2-shift,1380
S00611,K0061,arctic,high,2-shift,730
S00621,K0062,hot,high,3-shift,470
S00622,K0062,hot,medium,1-shift,1160
S00623,K0062,hot,high,3-shift,70
S00631,K0063,temperate,low,1-shift,700
S00641,K0064,arctic,high,3-shift,1300
S00642,K0064,temperate,high,2-shift,620
S00643,K0064,temperate,medium,2-shift,100
S00651,K0065,hot,high,2-shift,280
S00652,K0065,hot,medium,1-shift,1080
S00661,K0066,hot,low,2-shift,800
S00662,K0066,temperate,medium,2-shift,400
S00671,K0067,hot,low,3-shift,1400
S00672,K0067,hot,medium,3-shift,550
S00681,K0068,temperate,low,3-shift,390
S00682,K0068,hot,low,1-shift,1510
S00691,K0069,hot,low,1-shift,410
S00701,K0070,temperate,medium,1-shift,740
S00711,K0071,temperate,low,2-shift,240
S00721,K0072,arctic,high,3-shift,1780
S00722,K0072,hot,high,1-shift,360
S00731,K0073,temperate,high,2-shift,420
S00741,K0074,temperate,medium,2-shift,1600
S00742,K0074,temperate,medium,3-shift,1560
S00751,K0075,temperate,low,2-shift,340
S00752,K0075,hot,medium,1-shift,1660
S00753,K0075,hot,high,3-shift,1600
S00761,K0076,arctic,medium,2-shift,720
S00762,K0076,arctic,medium,1-shift,1020
S00771,K0077,hot,high,3-shift,310
S00781,K0078,hot,high,2-shift,410
S00791,K0079,temperate,high,1-shift,960
S00792,K0079,temperate,high,1-shift,1150
S00793,K0079,temperate,low,1-shift,70
S00801,K0080,hot,low,3-shift,200
S00802,K0080,temperate,high,1-shift,1770
S00811,K0081,temperate,high,1-shift,1660
S00821,K0082,hot,low,1-shift,900
S00831,K0083,temperate,medium,1-shift,670
S00832,K0083,arctic,low,1-shift,590
S00841,K0084,temperate,medium,2-shift,1400
S00842,K0084,hot,high,3-shift,1760
S00851,K0085,hot,medium,1-shift,1140
S00861,K0086,hot,high,3-shift,1380
